P;PID;FLC;FLC3
1.04367;1.01006;1.00151;1.00033
1.04628;1.01012;1.00151;1.00023
1.04874;1.01017;1.00149;1.00013
1.05105;1.01022;1.00144;1.00003
1.0532;1.01028;1.00137;0.999945
1.05519;1.01033;1.00127;0.999863
1.05704;1.01038;1.00116;0.999789
1.05872;1.01043;1.00104;0.999722
1.06025;1.01047;1.0009;0.999663
1.06162;1.01052;1.00077;0.999613
1.06285;1.01056;1.00063;0.999571
1.06392;1.01061;1.00049;0.999538
1.06483;1.01065;1.00036;0.999513
1.0656;1.01069;1.00023;0.999495
1.06623;1.01073;1.00012;0.999484
1.0667;1.01076;1.00002;0.99948
1.06704;1.0108;0.999933;0.999483
1.06723;1.01084;0.999859;0.999491
1.06729;1.01087;0.999801;0.999504
1.06722;1.0109;0.999757;0.999523
1.06702;1.01093;0.999728;0.999546
1.06668;1.01096;0.999713;0.999573
1.06623;1.01099;0.999711;0.999604
1.06566;1.01102;0.999722;0.999638
1.06497;1.01105;0.999744;0.999675
1.06417;1.01108;0.999777;0.999713
1.06326;1.0111;0.999818;0.999753
1.06225;1.01113;0.999867;0.999793
1.06114;1.01115;0.999921;0.999834
1.05994;1.01118;0.999979;0.999874
1.05865;1.0112;1.00004;0.999913
1.05728;1.01122;1.0001;0.999951
1.05582;1.01124;1.00016;0.999987
1.05429;1.01126;1.00022;1.00002
1.05269;1.01128;1.00027;1.00005
1.05103;1.0113;1.00032;1.00008
1.0493;1.01132;1.00037;1.00011
1.04752;1.01134;1.0004;1.00013
1.04568;1.01136;1.00043;1.00015
1.0438;1.01138;1.00046;1.00016
1.04188;1.0114;1.00047;1.00017
1.03992;1.01141;1.00048;1.00018
1.03793;1.01143;1.00047;1.00019
1.03592;1.01145;1.00046;1.00019
1.03388;1.01146;1.00044;1.00019
1.03182;1.01148;1.00042;1.00019
1.02975;1.01149;1.00039;1.00019
1.02767;1.01151;1.00035;1.00018
1.02558;1.01152;1.00031;1.00018
1.02349;1.01154;1.00027;1.00017
1.02141;1.01155;1.00023;1.00016
1.01933;1.01156;1.00018;1.00014
1.01727;1.01157;1.00014;1.00013
1.01522;1.01158;1.0001;1.00012
1.01319;1.0116;1.00007;1.0001
1.01118;1.01161;1.00003;1.00009
1.00919;1.01162;1;1.00007
1.00724;1.01163;0.999978;1.00006
1.00532;1.01164;0.999957;1.00004
1.00343;1.01165;0.999941;1.00003
1.00158;1.01165;0.99993;1.00001
0.999773;1.01166;0.999922;0.999998
0.998008;1.01167;0.99992;0.999986
0.996289;1.01168;0.999921;0.999974
0.994617;1.01168;0.999926;0.999964
0.992996;1.01169;0.999934;0.999955
0.991427;1.0117;0.999945;0.999947
0.989912;1.0117;0.999958;0.99994
0.988453;1.01171;0.999974;0.999935
0.98705;1.01171;0.999991;0.999931
0.985707;1.01172;1.00001;0.999928
0.984423;1.01172;1.00003;0.999926
0.983201;1.01173;1.00005;0.999925
0.98204;1.01173;1.00006;0.999925
0.980942;1.01173;1.00008;0.999926
0.979908;1.01174;1.0001;0.999927
0.978937;1.01174;1.00011;0.99993
0.978031;1.01174;1.00012;0.999933
0.977189;1.01175;1.00013;0.999937
0.976412;1.01175;1.00014;0.999941
0.9757;1.01175;1.00014;0.999946
0.975052;1.01175;1.00015;0.999951
0.974469;1.01175;1.00015;0.999956
0.97395;1.01175;1.00014;0.999962
0.973494;1.01175;1.00014;0.999968
0.973101;1.01175;1.00013;0.999974
0.97277;1.01175;1.00012;0.99998
0.9725;1.01175;1.00011;0.999986
0.97229;1.01175;1.0001;0.999991
0.97214;1.01175;1.00009;0.999997
0.972049;1.01175;1.00008;1
0.972014;1.01175;1.00006;1.00001
0.972035;1.01175;1.00005;1.00001
0.97211;1.01175;1.00004;1.00001
0.972239;1.01175;1.00003;1.00002
0.972419;1.01175;1.00002;1.00002
0.972648;1.01175;1.00001;1.00002
0.972926;1.01174;0.999997;1.00003
0.973251;1.01174;0.999991;1.00003
0.97362;1.01174;0.999985;1.00003
0.974032;1.01174;0.999981;1.00003
0.974486;1.01173;0.999978;1.00003
0.974979;1.01173;0.999977;1.00003
0.975509;1.01173;0.999977;1.00003
0.976075;1.01172;0.999978;1.00003
