Date,Open,High,Low,Close,Adj Close,Volume
2015-10-13,40.470001,40.950001,40.009998,40.299999,40.299999,435965
2015-10-14,40.5,41.98,40.040001,41.700001,41.700001,638050
2015-10-15,41.599998,42.639999,40.900002,42.299999,42.299999,899679
2015-10-16,44,44,38.029999,38.200001,38.200001,1969046
2015-10-19,39,40.98,37.259998,40.950001,40.950001,1495130
2015-10-20,41.240002,41.240002,40.130001,40.599998,40.599998,451529
2015-10-21,41.02,42.09,40.169998,41.509998,41.509998,463854
2015-10-22,41.5,41.93,40.540001,40.75,40.75,354448
2015-10-23,41.32,41.48,40.25,40.759998,40.759998,490378
2015-10-26,40.91,41.599998,39.459999,41.259998,41.259998,533856
2015-10-27,41.689999,41.689999,40.200001,40.490002,40.490002,379612
2015-10-28,40.299999,41.220001,40,41,41,384250
2015-10-29,41.009998,42.07,40.900002,41.349998,41.349998,576655
2015-10-30,41.459999,41.900002,40.540001,40.849998,40.849998,415790
2015-11-02,40.610001,42.709999,40.490002,42.700001,42.700001,457046
2015-11-03,42.73,43.380001,42.299999,42.75,42.75,467803
2015-11-04,43,43.09,42.5,42.950001,42.950001,316470
2015-11-05,42.950001,43,42.630001,42.630001,42.630001,315521
2015-11-06,42.310001,42.849998,42.099998,42.240002,42.240002,382643
2015-11-09,42.509998,42.509998,41.029999,41.400002,41.400002,294362
2015-11-10,41.560001,41.580002,40.25,40.630001,40.630001,293776
2015-11-11,40.360001,40.84,40.080002,40.310001,40.310001,331247
2015-11-12,40.310001,40.810001,40.16,40.349998,40.349998,386019
2015-11-13,40.450001,40.450001,38.470001,38.830002,38.830002,493459
2015-11-16,38.700001,38.740002,37.869999,38.299999,38.299999,234530
2015-11-17,38.310001,38.48,37.73,37.869999,37.869999,397769
2015-11-18,37.950001,38.400002,37.580002,38.209999,38.209999,500414
2015-11-19,38.689999,39.5,38.400002,38.990002,38.990002,602011
2015-11-20,39.349998,39.529999,38.25,38.5,38.5,672410
2015-11-23,39.049999,39.299999,38,38.630001,38.630001,402006
2015-11-24,38.619999,38.900002,38.279999,38.400002,38.400002,413386
2015-11-25,38.349998,38.75,37.900002,38.009998,38.009998,413795
2015-11-26,38,38.150002,36.860001,37,37,700619
2015-11-27,37.029999,39.610001,36.099998,39.400002,39.400002,1230887
2015-11-30,39.599998,41.400002,39.599998,41,41,1070186
2015-12-01,40.5,41.740002,40.5,41.490002,41.490002,733098
2015-12-02,41.599998,42.990002,41.490002,42.830002,42.830002,824856
2015-12-03,42.700001,44.450001,42.59,43.830002,43.830002,818338
2015-12-04,44.439999,44.439999,43.5,44.200001,44.200001,790805
2015-12-07,44.619999,44.93,43.709999,43.860001,43.860001,235545
2015-12-08,43.860001,44.5,42.34,42.34,42.34,392287
2015-12-09,42.200001,43.41,41.529999,43.400002,43.400002,602464
2015-12-10,43.450001,43.549999,42.41,42.98,42.98,274431
2015-12-11,42.689999,42.73,41.240002,41.599998,41.599998,342498
2015-12-14,41.25,41.759998,39.810001,40.709999,40.709999,401776
2015-12-15,40.759998,42.439999,39.810001,42.220001,42.220001,327665
2015-12-16,42.23,43.700001,41.869999,43.400002,43.400002,510235
2015-12-17,43.400002,43.810001,42.450001,43,43,421962
2015-12-18,42.84,43.5,42.5,42.73,42.73,574935
2015-12-21,43.119999,43.799999,42.73,43.32,43.32,370863
2015-12-22,42.959999,43.5,42.700001,42.900002,42.900002,464229
2015-12-23,43.279999,45.200001,42.959999,44.830002,44.830002,1027034
2015-12-28,44.830002,44.880001,43,43.02,43.02,321344
